County,License_Number,Establishment_Type,Entity_Name,DBA_Name,Street_Number,Street_Name,City,State_Abbreviation,Zip_Code,Square_Footage,Latitude,Longitude
Erie,703857,JAC,142 GRANT ST LLC,SAVE A LOT,142,GRANT ST,BUFFALO,NY,14213,9000,-78.890665,42.917892
Erie,723731,JAC,BUTZER ALAN,CREEKSIDE MARKET,13971,RT 62,COLLINS,NY,14034,1500,-78.928744,42.498459
Madison,744205,A,OM HARI COMPANY INC,DK GROCERY,8,BROAD STREET,HAMILTON,NY,13346,0,-75.544146,42.826614
Monroe,746147,JAC,JGOTTI LLC,JGOTTI,908,PORTLAND AVE.,ROCHESTER,NY,14621,0,-77.586422,43.18244
Monroe,260638,A,RITE AID OF NEW YORK INC,RITE AID 3597,535,PORTLAND AVE,ROCHESTER,NY,14621,6000,-77.591066,43.175707
Monroe,261285,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6386,50,MAIN ST,BROCKPORT,NY,14420,0,-77.938466,43.215609
Monroe,262070,JAC,SUPER104 INC,SUPER104,1375,HUDSON AVE,ROCHESTER,NY,14621,2000,-77.599869,43.191338
Monroe,729284,JAC,RIZ WAN ALI,BAY MINI MART,1055,BAY ST,ROCHESTER,NY,14609,0,-77.564883,43.171407
Montgomery,270112,A,ALDI INC,ALDI #37,4888,RT 30,AMSTERDAM,NY,12010,12000,-74.187106,42.968313
Oneida,720485,JAC,SPEEDWAY LLC,SPEEDWAY #07638,2639,GENESEE ST,UTICA,NY,13501,0,-75.279997,43.077195
Onondaga,743321,JAC,CUSE MART INC,CUSE MART,1718,GRANT BLVD,SYRACUSE,NY,13208,0,-76.139865,43.072232
Rockland,724524,JAC,JAY OM INC,JAY OM,41,ROUTE 59,NYACK,NY,10960,0,-73.934461,41.093969
Rockland,715524,JAC,SUPER SHIELD FOOD MART INC,SHELL,68,RT 59,SPRING VALLEY,NY,10977,0,-74.033564,41.105506
Suffolk,714372,JAC,JAK DELI CORP,JAK DELI,305,MONTAWK HWY,SPEONK,NY,11972,2000,-72.70564,40.819483
Suffolk,725395,A,EMINE-ANA CORP,THE TURKISH PISTACHIO,2026,MEDFORD AVE,MEDFORD,NY,11763,1700,-73.002551,40.808518
Ulster,510408,JACH,KRAUSES CHOCOLATES INC,KRAUSES CANDY,41,S PARTITION ST,SAUGERTIES,NY,12477,5700,-73.951291,42.072396
Westchester,556276,JAC,G&S CORP,DECICCO & SONS,43,5TH AVE,PELHAM,NY,10803,14500,-73.809332,40.911988
Westchester,714690,JAC,SUSHILOVER INC,SUSHILOVER @ SHOPRITE,8,JOYCE RD,NEW ROCHELLE,NY,10801,0,-73.776972,40.91885
Bronx,733263,JAC,SAZIA CORPORATION,ZK BAKERY,1567,SAINT PETERS AVE,BRONX,NY,10461,1000,-73.847724,40.840643
Bronx,750853,A,BUYK CORP,BUYK,190,W 231ST ST,BRONX,NY,10463,0,-73.904286,40.878728
Bronx,606498,JAC,LITTLE TWINS CORP,LITTLE TWINS,301,E 194TH ST,BRONX,NY,10458,1300,-73.891984,40.864544
Kings,746745,JAC,PETRICHOR LLC,HORSERADISH,839,BROADWAY,BROOKLYN,NY,11206,0,-73.938712,40.698918
Kings,749153,JAC,MJ CUT LLC,MJ CUT,807,AVENUE U,BROOKLYN,NY,11223,1200,-73.962716,40.598138
Kings,610044,JAC,MENDELSON FOOD INC,MEAL MART,14,LEE AVE,BROOKLYN,NY,11211,700,-73.961537,40.707161
Kings,619148,JAC,WY FOOD CORP,WY FOOD,270,5TH AVE,BROOKLYN,NY,11215,1500,-73.981847,40.674509
Kings,708825,A,POPULAR 99 CENTS & UP INC,POPULAR 99 CENTS,1508,FULTON ST,BROOKLYN,NY,11216,2000,-73.940565,40.679907
Kings,729960,A,MIRACLE STAR INC,MIRACLE STAR,4421,8TH AVE,BROOKLYN,NY,11220,1000,-74.000704,40.644034
Kings,714980,JAC,AJLJ EDIBLES INC,470 AVE P,470,AVE P,BROOKLYN,NY,11223,4000,-73.970096,40.609154
Kings,718179,JAC,S&S VEGETABLE INC,S&S VEGETABLE,92,LIVONIA AVE,BROOKLYN,NY,11212,1200,-73.914783,40.661687
Kings,724762,JAC,DA CAI INC,DA CAI,4814,8TH AVE,BROOKLYN,NY,11220,800,-74.002845,40.641957
New York,732590,JAC,LAMINE DELI CORP,LAMINE DELI,33,AVENUE D,NEW YORK,NY,10009,0,-73.977936,40.721081
New York,742163,JAC,LADERACH FIFTH AVE LLC,LADERACH CHOCOLATIER SU,537,FIFTH AVE,NEW YORK,NY,10017,2500,-73.979739,40.755042
New York,627356,JAC,SOHO GARDEN INC,SOHO GARDEN,40,PRINCE ST,NEW YORK,NY,10012,600,-73.995392,40.723233
New York,625364,JAC,NAMDOR INC,GRISTEDES 437,1343,LEXINGTON AVE,NEW YORK,NY,10128,14000,-73.954052,40.781563
New York,620267,JAC,471 6TH AVE FOOD CORP,H&H PRODUCE,471,6TH AVE,NEW YORK,NY,10011,2400,-73.998096,40.73563
Queens,734937,A,NINA SHOP INC,NINA SHOP,5548,MYRTLE AVENUE,RIDGEWOOD,NY,11385,1500,-73.906817,40.700053
Queens,749778,A,CITY DOLLAR INC,DOLLAR CITY,78-14,ROOSEVELT AVE,JACKSON HEIGHTS,NY,11372,0,,
Queens,745406,A,JAY BEBE SHOP INC,JAY BEBE SHOP,47-12,48TH AVE,WOODSIDE,NY,11377,800,-73.917993,40.739137
Queens,637931,JAC,JAMAN FOOD CORP,FINE FARE,199-11,HOLLIS AVE,HOLLIS,NY,11412,5000,,
Queens,716264,JAC,FLUSHING SUPERMARKET INC,WASSERMAN SUPERMARKET,72-51,MAIN ST,FLUSHING,NY,11367,6500,,
Richmond,737214,JAC,SBF FISHERY INC,SBF FISHERY,4045,AMBOY ROAD,STATEN ISLAND,NY,10308,400,-74.151325,40.549527
Richmond,641032,JAC,TARGET CORP,TARGET 2006,2900,VETERANS PKWY W,STATEN ISLAND,NY,10309,140000,,
Westchester,552008,JAC,ANDREAS FOOD MARKET INC,ANDREAS FOOD MARKET,41,LAKE ST,WHITE PLAINS,NY,10603,0,-73.75973,41.03802
Dutchess,704077,JAC,GURUSAI CORP,GARDEN STREET DELI,75,GARDEN ST.,POUGHKEEPSIE,NY,12601,1400,-73.925786,41.706587
Orange,330656,JABC,SHOP-RITE SUPERMARKETS INC,SHOPRITE #272  MIDDLETO,125,DOLSON AVE,MIDDLETOWN,NY,10940,35000,-74.424781,41.429777
Queens,740277,JAC,SAMMY GRILL & JUICE BAR CORP,SAMMY GRILL & JUICE BAR,159-02,HILLSIDE AVENUE,JAMAICA,NY,11432,0,-73.802432,40.707775
Broome,35567,JABC,CIDER MILL LLC THE,CIDER MILL THE,6-Feb,S NANTICOKE AVE,ENDICOTT,NY,13760,10000,-76.065519,42.098484
Westchester,743316,JAC,FRESH FOOD DELI & GRILL CORP,FRESH FOOD DELI & GRILL,97,YONKERS AVE,YONKERS,NY,10701,0,-73.885897,40.935331
Kings,726868,JAC,NOSTRAND FINEST DELI INC,NOSTRAND FINEST DELI,792,NOSTRAND AVE,BROOKLYN,NY,11216,1500,-73.950342,40.671518
New York,739043,JAC,245 EMPIRE GROCERY & DELI CORP,245 EMPIRE GROCERY & DE,245,9TH AVENUE,NEW YORK,NY,10001,0,-74.00042,40.747717
Bronx,604384,JAC,LONGWOOD ONE FISH CORP,LONGWOOD ONE FISH,838,WESTCHESTER AVE,BRONX,NY,10455,1000,-73.901735,40.819627
Kings,615869,JAC,KOLLEL FOOD INC,EMPIRE KOSHER SUPERMRKT,529,EMPIRE BLVD,BROOKLYN,NY,11225,3000,-73.944421,40.664153
Kings,737113,JAC,764 RAFI DELI GROCERY INC,764 RAFI DELI GROCERY,764,SNEDIKER AVENUE,BROOKLYN,NY,11207,600,-73.897541,40.655837
Bronx,603423,JAC,LEE UIDUK,STAR CITY FRUIT&VEG,676,ALLERTON AVE,BRONX,NY,10467,1200,-73.86819,40.865415
Cattaraugus,715176,JABC,PARKVIEW MARKETS LLC,SANDERS PARKVIEW,545,BROAD STREET,SALAMANCA,NY,14779,23000,-78.735338,42.158167
Albany,736545,JAC,LUCKY DICE MART INC,LUCKY DICE MART,32,N SWAN STREET,ALBANY,NY,12210,1500,-73.752808,42.65958
Suffolk,741445,JAC,NORTHPORT QUALITY MEATS INC,NORTHPORT QUALITY MEATS,829,FORT SALONGA ROAD,NORTHPORT,NY,11768,1200,-73.331751,40.898643
Queens,736880,A,WALGREEN EASTERN CO INC,WALGREENS #18246,193-01,NORTHERN BLVD,FLUSHING,NY,11358,3000,-73.787887,40.757951
Bronx,607283,JAC,TONY FRUITS & GROCERY CORP,TONY FRUITS & GROCERY,1004,E 174TH ST,BRONX,NY,10460,1100,-73.884168,40.836151
New York,627276,A,DUANE READE ETAL PTRS,DUANE READE 14185,100,DELANCEY ST,NEW YORK,NY,10002,8000,-73.988753,40.718818
Queens,748479,JAC,CATALPA CONVENIENCE DELI CORP,CATALPA CONVENIENCE DEL,68-47,FRESH POND RD,RIDGEWOOD,NY,11385,0,-73.895691,40.703965
New York,621033,A,KAMWO MERIDIAN HERB LLC,KAMWO MERIDIAN HERB,209-211,GRAND ST,NEW YORK,NY,10013,4000,-73.996136,40.718928
Bronx,736483,JAC,WAGGYS DELI & GROCERY CORP,WAGGYS DELI & GROCERY,950,ANDERSON AVENUE,BRONX,NY,10452,1200,-73.928115,40.830973
Montgomery,270086,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9357,140,GUY PARK AVE,AMSTERDAM,NY,12010,10000,-74.198068,42.943951
Nassau,748526,JAC,7-ELEVEN INC,7-ELEVEN STORE #34086H,2950,MERRICK ROAD CNR RIVERSIDE A,BELLMORE,NY,11710,0,-73.517271,40.663405
Oneida,300505,JAC,MATTESON BRIDGET A&JAMES C,MATTESONS MARKET,12470,RT 28,WOODGATE,NY,13494,1800,-75.154228,43.535424
Nassau,743491,JAC,TRANSIST NEWS INC,TRANSIST NEWS,88,W COLUMBIA ST,HEMPSTEAD,NY,11550,400,-73.624741,40.711809
Kings,748670,JAC,SLOPE GROUP LLC THE,TAVOLA ITALIAN MARKET,274,COURT ST,BROOKLYN,NY,11231,1500,-73.99476,40.684723
Kings,618557,JAC,FLATLAND DELI GROCERY CORP,FLATLAND DELI GROCERY,911,E 107TH ST,BROOKLYN,NY,11236,1000,-73.893022,40.648201
Yates,570125,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10301,16,SENECA ST,DUNDEE,NY,14837,8500,-76.975639,42.523436
St. Lawrence,713858,JAC,J PROULX INC,CANTON SAVE A LOT,5933,NYS ROUTE 11,CANTON,NY,13617,0,,
Suffolk,471688,JAC,KAM&RICK INC,BP FOOD SHOP,32400,MIDDLE RD RT 48,PECONIC,NY,11958,1000,,
New York,730690,JAC,LA ESQUINA DELI GROCERY INC,LA ESQUINA DELI GROCERY,2105,3RD AVE,NEW YORK,NY,10029,0,-73.940433,40.797387
Tioga,495096,JAC,UNITED REFINING CO OF PA INC,KWIK FILL A0050,450,NORTH AVE,OWEGO,NY,13827,1940,-76.269212,42.118457
Kings,719146,JABH,BAKERY BAKY INC,BAKU BAKERY,1903,AVENUE U,BROOKLYN,NY,11229,2000,-73.952386,40.599284
Kings,740147,A,EMANUEL DELI GROCERY CORP,EMANUEL DELI GROCERY,6402,BAY PKWY,BROOKLYN,NY,11204,800,-73.980926,40.614332
Dutchess,731638,JAC,CASTELLANOS LORENA,MUNDO LATINO GROCERY ST,7578,NORTH BROADWAY #1,RED HOOK,NY,12571,0,-73.87331,41.998709
Onondaga,709748,JAC,ALAMOS FOOD MARKET INC,ALAMOS FOOD MARKET,128,WALTON ST,SYRACUSE,NY,13202,1500,-76.154876,43.04797
Queens,733101,A,WALGREEN EASTERN CO INC,WALGREENS #19598,63-37,108TH STREET,FOREST HILLS,NY,11375,0,-73.850144,40.733984
Erie,141693,JAC,SALEH KASIM ALI ABDULLA,COMSTOCK DELI&GROCERY,262,COMSTOCK AVE,BUFFALO,NY,14215,1500,-78.817609,42.943863
Wayne,745694,JAC,THORNBEE FARMS LLC,THORNBEE FARMS,915,KUTTRUFF,WALWORTH,NY,14568,1000,-77.335363,43.152429
Orange,331241,A,DOLLAR TREE STORES INC,DOLLAR TREE #4386,174,N MAIN ST,FLORIDA,NY,10921,10500,-74.358751,41.337786
Nassau,744287,A,2805 GFG EXPRESS LLC,GFG EXPRESS,2805,N JERUSALEM RD,EAST MEADOW,NY,11554,300,-73.531221,40.706429
Kings,614539,JAC,KINGS VALLEY FRUIT INC,KINGS VALLEY FRUIT,1624-1626,KINGS HWY,BROOKLYN,NY,11229,1200,-73.956768,40.609418
Chenango,750709,A,SAAM JOSEPH G,HYMN & HAWE COUNTRY STO,43,GENESEE STREET,GREENE,NY,13778,0,-75.770888,42.329813
